Taxa,Acc
hpev_4/LC259313/Japan/Yamagata/2016,LC259313
hpev_4/KY931587/Ghana/2007,KY931587
hpev_4/KC893392/Netherlands/2007,KC893392
hpev_4/KJ743685/India/2009,KJ743685
hpev_4/KF985030/Finland/2012,KF985030
hpev_4/KF985029/Finland/2012,KF985029
hpev_4/KF985031/Finland/2012,KF985031
hpev_4/KY404169/Finland/2012,KY404169
hpev_4/KY404170/Finland/2012,KY404170
hpev_4/KY404171/Finland/2012,KY404171
hpev_4/KJ743678/India/2007,KJ743678
hpev_4/FJ373166/Netherlands/2004,FJ373166
hpev_4/FJ373165/Netherlands/2004,FJ373165
hpev_4/HQ384370/SouthKorea/2009,HQ384370
hpev_4/FJ648755/Thailand/2005,FJ648755
hpev_4/KC893367/Netherlands/2009,KC893367
hpev_4/JQ229466/France/Brest/2010,JQ229466
hpev_4/KT626010/Taiwan/2011,KT626010
hpev_4/AB433629/Japan/Fukuoka/2005,AB433629
hpev_4/FJ373170/Netherlands/2004,FJ373170
hpev_8/KY931632/Ghana/2007,KY931632
hpev_8/KY931633/Ghana/2007,KY931633
hpev_8/KY931630/Ghana/2007,KY931630
hpev_8/KY931634/Ghana/2007,KY931634
hpev_8/KY931626/Ghana/2007,KY931626
hpev_8/KY931624/Ghana/2007,KY931624
hpev_8/KY931631/Ghana/2007,KY931631
hpev_8/KY931625/Ghana/2007,KY931625
hpev_1/GU125393/Hungary/1993,GU125393
hpev_1/KJ796877/HongKong/2004,KJ796877
hpev_4/MF435192/HongKong/2015,MF435192
hpev_2/KY931581/Ghana/2007,KY931581
hpev_2/KY931579/Ghana/2007,KY931579
hpev_2/KY931582/Ghana/2007,KY931582
hpev_2/KY931578/Ghana/2007,KY931578
hpev_2/KJ743669/India/2009,KJ743669
hpev_2/AB443763/Netherlands/2001,AB443763
hpev_1/MF435247/HongKong/2015,MF435247
hpev_1/MF435258/HongKong/2014,MF435258
hpev_1/MF435249/HongKong/2016,MF435249
hpev_4/KY931586/Ghana/2007,KY931586
hpev_4/KY931594/Ghana/2007,KY931594
hpev_4/KY931590/Ghana/2007,KY931590
hpev_1/LC062476/Japan/Niigata/2007,LC062476
hpev_1/JX575746/SouthKorea/2011,JX575746
hpev_4/AM933168/California/USA/1979,AM933168
hpev_4/AM235750/California/USA/1979,AM235750
hpev_4/MF435183/HongKong/2015,MF435183
hpev_4/MF435186/HongKong/2015,MF435186
hpev_4/MF435185/HongKong/2015,MF435185
hpev_4/MF435184/HongKong/2015,MF435184
hpev_4/MF435182/HongKong/2015,MF435182
hpev_4/GU125398/Hungary/1999,GU125398
hpev_4/GU125397/Hungary/1999,GU125397
hpev_4/LC133462/Japan/Kanagawa/YokohamaCity/2015,LC133462
hpev_4/AM933169/California/USA/1975,AM933169
hpev_4/AB434673/Japan/Niigata/1993,AB434673
hpev_4/LC027516/Japan/Niigata/2014,LC027516
hpev_4/AB433630/Japan/Fukuoka/2001,AB433630
hpev_4/MF435193/HongKong/2015,MF435193
hpev_4/MF435194/HongKong/2016,MF435194
hpev_4/FJ373186/Netherlands/2005,FJ373186
hpev_4/KC893359/Netherlands/2009,KC893359
hpev_4/KJ796892/HongKong/2006,KJ796892
hpev_4/KY931593/Ghana/2007,KY931593
hpev_4/KY931598/Ghana/2007,KY931598
hpev_4/KY931591/Ghana/2007,KY931591
hpev_4/JX219590/Bolivia/2003,JX219590
hpev_4/JX219589/Bolivia/2002,JX219589
hpev_4/JX219587/Bolivia/2003,JX219587
hpev_4/JX219586/Bolivia/2003,JX219586
hpev_4/JX219585/Bolivia/2003,JX219585
hpev_4/KY931592/Ghana/2007,KY931592
hpev_4/KY931588/Ghana/2007,KY931588
hpev_4/KY931595/Ghana/2007,KY931595
hpev_4/KY931596/Ghana/2007,KY931596
hpev_4/KY931597/Ghana/2007,KY931597
hpev_4/KJ743652/India/2009,KJ743652
hpev_4/KJ743622/India/2007,KJ743622
hpev_5/AM234724/California/USA/1983,AM234724
hpev_5/AF055846/Ohio/USA/1986,AF055846
hpev_8/KY931627/Ghana/2007,KY931627
hpev_8/KY931623/Ghana/2007,KY931623
hpev_8/KJ743624/India/2007,KJ743624
hpev_8/EU716175/2006,EU716175
